O*NET-SOC Code,Title,Description,AB_Arm-Hand Steadiness,AB_Auditory Attention,AB_Category Flexibility,AB_Control Precision,AB_Deductive Reasoning,AB_Depth Perception,AB_Dynamic Flexibility,AB_Dynamic Strength,AB_Explosive Strength,AB_Extent Flexibility,AB_Far Vision,AB_Finger Dexterity,AB_Flexibility of Closure,AB_Fluency of Ideas,AB_Glare Sensitivity,AB_Gross Body Coordination,AB_Gross Body Equilibrium,AB_Hearing Sensitivity,AB_Inductive Reasoning,AB_Information Ordering,AB_Manual Dexterity,AB_Mathematical Reasoning,AB_Memorization,AB_Multilimb Coordination,AB_Near Vision,AB_Night Vision,AB_Number Facility,AB_Oral Comprehension,AB_Oral Expression,AB_Originality,AB_Perceptual Speed,AB_Peripheral Vision,AB_Problem Sensitivity,AB_Rate Control,AB_Reaction Time,AB_Response Orientation,AB_Selective Attention,AB_Sound Localization,AB_Spatial Orientation,AB_Speech Clarity,AB_Speech Recognition,AB_Speed of Closure,AB_Speed of Limb Movement,AB_Stamina,AB_Static Strength,AB_Time Sharing,AB_Trunk Strength,AB_Visual Color Discrimination,AB_Visualization,AB_Wrist-Finger Speed,AB_Written Comprehension,AB_Written Expression,WS_Achievement Orientation,WS_Adaptability,WS_Attention to Detail,WS_Cautiousness,WS_Cooperation,WS_Dependability,WS_Empathy,WS_Humility,WS_Initiative,WS_Innovation,WS_Integrity,WS_Intellectual Curiosity,WS_Leadership Orientation,WS_Optimism,WS_Perseverance,WS_Self-Confidence,WS_Self-Control,WS_Sincerity,WS_Social Orientation,WS_Stress Tolerance,WS_Tolerance for Ambiguity,IT_Artistic,IT_Conventional,IT_Enterprising,IT_Investigative,IT_Realistic,IT_Social,Job Zone
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",0.024640657,0.43315508,0.654320988,0.070610687,0.785714286,0.25,0.123333333,0.353773585,0.171270718,0.444444444,0.526666667,0.130801688,0.773195876,0.882075472,0.289405685,0.31640625,0.275555556,0.324675325,0.742268041,0.717948718,0.486652977,0.599644128,0.738872404,0.095607235,0.613402062,0.211428571,0.658203125,0.742268041,0.768,0.784017279,0.655,0.240331492,0.742268041,0,0,0,0.388888889,0,0.026666667,0.8,0.73964497,0.573849879,0.296735905,0.382075472,0.415555556,0.452,0.028235294,0.298056156,0.677647059,0.034285714,0.839793282,0.806666667,1,0.983660131,0.309734513,0.480211082,0.537735849,0.965853659,0.430678466,0.284653465,1,0.82278481,1,0.76,1,0.623794212,0.807142857,1,0.8170347,0.385350318,0.846368715,0.842105263,0.991097923,0.193333333,0.623376623,0.993333333,0.341666667,0.043333333,0.423333333,5
11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",0.513347023,0.36631016,0.5,0.022900763,0.785714286,0.3425,0.123333333,0.353773585,0.171270718,0.444444444,0.415555556,0.210970464,0.613402062,0.764150943,0.289405685,0.31640625,0.275555556,0.270562771,0.546391753,0.599358974,0.486652977,0.466192171,0.629080119,0.031007752,0.386597938,0.211428571,0.51171875,0.675257732,0.733333333,0.730021598,0.435,0.240331492,0.546391753,0.324675325,0.404761905,0.309160305,0.347222222,0.303135889,0.248888889,0.533333333,0.556213018,0.452784504,0.296735905,0.382075472,0.415555556,0.352,0,0.298056156,0.56,0.32,0.677002584,0.724444444,0.498154982,0.526143791,0.721238938,0.699208443,0.509433962,0.741463415,0.268436578,0.455445545,0.508960573,0.440506329,0.635087719,0.434285714,0.367454068,0.29903537,0.514285714,0.487455197,0.485804416,0.328025478,0.491620112,0.438596491,0.658753709,0.246666667,0.53432282,0.946666667,0.63,0.173333333,0.425,5
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",0.102669405,0.43315508,0.422839506,0.452290076,0.605714286,0.31,0.123333333,0.353773585,0,0.444444444,0.415555556,0.025316456,0.484536082,0.589622642,0.289405685,0.046875,0,0.216450216,0.386597938,0.557692308,0.024640657,0.487544484,0.480712166,0.031007752,0.324742268,0.211428571,0.51171875,0.546391753,0.565333333,0.622030238,0.4675,0.240331492,0.546391753,0.324675325,0.051948052,0.309160305,0.305555556,0.303135889,0.053333333,0.498666667,0.443786982,0.363196126,0.296735905,0.117924528,0.111111111,0.452,0.324705882,0.244060475,0.529411765,0.142857143,0.612403101,0.64,0.804428044,0.774509804,0.442477876,0.556728232,0.635220126,0.829268293,0.474926254,0.381188119,0.899641577,0.64556962,0.852631579,0.554285714,0.981627297,0.556270096,0.710714286,0.853046595,0.728706625,0.378980892,0.765363128,0.645614035,0.869436202,0.048333333,0.692022263,1,0.228333333,0.2,0.396666667,4
11-1031.00,Legislators,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",0.513347023,0.465240642,0.382716049,0.452290076,0.462857143,0.405,0.123333333,0.353773585,0.171270718,0.444444444,0.471111111,0.5,0.613402062,0.5,0.289405685,0.31640625,0.275555556,0.324675325,0.355670103,0.439102564,0.486652977,0.355871886,0.519287834,0.57881137,0.420103093,0.211428571,0.4140625,0.515463918,0.533333333,0.514038877,0.625,0.240331492,0.386597938,0.324675325,0.404761905,0.309160305,0.347222222,0.303135889,0.248888889,0.365333333,0.369822485,0.423728814,0.296735905,0.382075472,0.415555556,0.4,0.381176471,0.406047516,0.56,0.32,0.547803618,0.528888889,0.767527675,0.882352941,0.32300885,0.472295515,0.742138365,0.829268293,0.637168142,0.326732673,0.899641577,0.675949367,1,0.831428571,1,0.565916399,0.764285714,0.910394265,0.779179811,0.420382166,0.924581006,0.8,0.985163205,0.283333333,0.372912801,0.753333333,0.391666667,0.09,0.448333333,4
11-2011.00,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",0.024640657,0.232620321,0.617283951,0.452290076,0.714285714,0.155,0.123333333,0.353773585,0.171270718,0.444444444,0.497777778,0.156118143,0.644329897,0.764150943,0.289405685,0.31640625,0.275555556,0.162337662,0.484536082,0.599358974,0,0.487544484,0.519287834,0.57881137,0.515463918,0.211428571,0.53515625,0.613402062,0.733333333,0.704103672,0.5925,0.240331492,0.515463918,0.324675325,0.404761905,0.309160305,0.260416667,0.303135889,0.248888889,0.568,0.591715976,0.484261501,0.296735905,0.382075472,0.415555556,0.3,0.089411765,0.460043197,0.616470588,0.105714286,0.612403101,0.64,0.778597786,0.800653595,0.495575221,0.092348285,0.635220126,0.619512195,0.395280236,0.170792079,0.806451613,0.86835443,0.480701754,0.554285714,0.874015748,0.633440514,0.560714286,0.838709677,0.485804416,0.261146497,0.899441341,0.578947368,0.893175074,0.478333333,0.523191095,1,0.115,0,0.356666667,4
11-2021.00,Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",0.513347023,0.331550802,0.537037037,0.452290076,0.68,0.0925,0.123333333,0.353773585,0.171270718,0.444444444,0.526666667,0.183544304,0.613402062,0.794811321,0.289405685,0.31640625,0.275555556,0.216450216,0.484536082,0.519230769,0.486652977,0.576512456,0.703264095,0.57881137,0.420103093,0.211428571,0.609375,0.613402062,0.565333333,0.730021598,0.625,0.240331492,0.484536082,0.324675325,0.404761905,0.309160305,0.305555556,0.303135889,0.248888889,0.568,0.556213018,0.544794189,0.296735905,0.382075472,0.415555556,0.4,0.089411765,0.48812095,0.588235294,0.105714286,0.643410853,0.666666667,0.804428044,0.85620915,0.389380531,0.292875989,0.528301887,0.580487805,0.424778761,0.227722772,0.831541219,0.86835443,0.578947368,0.705714286,0.842519685,0.578778135,0.596428571,0.82437276,0.504731861,0.277070064,0.829608939,0.578947368,0.893175074,0.241666667,0.573283859,1,0.316666667,0,0.303333333,4
11-2022.00,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",0.513347023,0.331550802,0.537037037,0,0.571428571,0.03,0.123333333,0.353773585,0.171270718,0.444444444,0.415555556,0.025316456,0.582474227,0.70754717,0.289405685,0.31640625,0.275555556,0.108225108,0.515463918,0.358974359,0,0.599644128,0.703264095,0.57881137,0.324742268,0.211428571,0.6328125,0.613402062,0.533333333,0.704103672,0.4675,0.240331492,0.484536082,0.324675325,0.404761905,0.309160305,0.260416667,0.303135889,0.053333333,0.6,0.627218935,0.544794189,0.296735905,0.382075472,0.415555556,0.3,0.176470588,0.215982721,0.470588235,0.068571429,0.612403101,0.64,0.830258303,0.764705882,0.411504425,0.27176781,0.613207547,0.741463415,0.513274336,0.217821782,0.845878136,0.612658228,0.694736842,0.477142857,0.923884514,0.659163987,0.807142857,0.896057348,0.65615142,0.378980892,0.924581006,0.624561404,0.830860534,0.06,0.727272727,1,0.111666667,0.081666667,0.395,4
11-2032.00,Public Relations Managers,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client.",0.513347023,0.465240642,0.382716049,0.452290076,0.462857143,0.405,0.123333333,0.353773585,0.171270718,0.444444444,0.471111111,0.5,0.613402062,0.5,0.289405685,0.31640625,0.275555556,0.324675325,0.355670103,0.439102564,0.486652977,0.355871886,0.519287834,0.57881137,0.420103093,0.211428571,0.4140625,0.515463918,0.533333333,0.514038877,0.625,0.240331492,0.386597938,0.324675325,0.404761905,0.309160305,0.347222222,0.303135889,0.248888889,0.365333333,0.369822485,0.423728814,0.296735905,0.382075472,0.415555556,0.4,0.381176471,0.406047516,0.56,0.32,0.547803618,0.528888889,0.741697417,0.85620915,0.508849558,0.44591029,0.902515723,0.785365854,0.637168142,0.245049505,0.860215054,0.784810127,0.785964912,0.591428571,0.858267717,0.823151125,0.632142857,0.896057348,0.741324921,0.573248408,0.941340782,0.722807018,0.899109792,0.445,0.515769944,1,0.223333333,0,0.53,4
11-2033.00,Fundraising Managers,"Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.",0.513347023,0.43315508,0.382716049,0.452290076,0.605714286,0.405,0.123333333,0.087264151,0.171270718,0.444444444,0.471111111,0.5,0.420103093,0.735849057,0.289405685,0.31640625,0.275555556,0.19047619,0.322164948,0.439102564,0.486652977,0.510676157,0.590504451,0.57881137,0.453608247,0.211428571,0.53515625,0.546391753,0.6,0.704103672,0.435,0.240331492,0.417525773,0.324675325,0.404761905,0.309160305,0.131944444,0.303135889,0.248888889,0.365333333,0.517751479,0.363196126,0.296735905,0.382075472,0.415555556,0.352,0.263529412,0.298056156,0.352941176,0.248571429,0.643410853,0.724444444,1,0.689542484,0.451327434,0.224274406,0.779874214,0.741463415,0.663716814,0.185643564,0.845878136,0.612658228,0.852631579,0.554285714,0.834645669,0.784565916,0.685714286,0.598566308,0.65615142,0.684713376,1,0.2,0.830860534,0.268333333,0.59554731,1,0.235,0,0.46,4
11-3012.00,Administrative Services Managers,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.",0.332648871,0.5,0.382716049,0.261450382,0.537142857,0.31,0.123333333,0.087264151,0.102209945,0.082222222,0.415555556,0.367088608,0.453608247,0.528301887,0.062015504,0.046875,0.053333333,0.350649351,0.355670103,0.397435897,0.254620123,0.377224199,0.590504451,0.160206718,0.386597938,0.068571429,0.462890625,0.515463918,0.533333333,0.539956803,0.5,0.066298343,0.451030928,0.108225108,0.108225108,0.045801527,0.347222222,0.128919861,0.026666667,0.466666667,0.479289941,0.452784504,0.296735905,0.028301887,0.137777778,0.452,0.176470588,0.298056156,0.529411765,0.32,0.612403101,0.64,0.579335793,0.575163399,0.530973451,0.654353562,0.635220126,0.829268293,0.415929204,0.495049505,0.698924731,0.536708861,0.385964912,0.397142857,0.724409449,0.276527331,0.310714286,0.562724014,0.589905363,0.378980892,0.625698324,0.4,0.548961424,0.018333333,0.864564007,0.911666667,0.186666667,0.07,0.456666667,3
